Sl.No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Category,Population and Household Profile,,,,,,,,,,,,,Characteristics of Women (age 15-49 years),,Marriage and Fertility,,,,Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,,,,Unmet Need for Family Planning (currently married women age 15–49 years),,Quality of Family Planning Services,,Maternal and Child Health Maternity Care (for last birth in the 5 years before the survey),,,,,,,,,,Delivery Care (for births in the 5 years before the survey),,,,,,,Child Vaccinations and Vitamin A Supplementation,,,,,,,,,,,,Treatment of Childhood Diseases (children under age 5 years),,,,,,Child Feeding Practices and Nutritional Status of Children,,,,,,,,,,,Nutritional Status of Women (age 15-49 years),,,Anaemia among Children and Women,,,,,Blood Sugar Level among Adults (age 15 years and above) Women,,,Blood Sugar Level among Adults (age 15 years and above) Men,,,Hypertension among Adults (age 15 years and above) Women,,,Hypertension among Adults (age 15 years and above) Men,,,Screening for Cancer among Women (age 30-49 years),,,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,
Indicators (2019-20),1. Female population age 6 years and above who ever attended school (%),2. Population below age 15 years (%),"3. Sex ratio of the total population (females per 1,000 males)","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",5. Children under age 5 years whose birth was registered with the civil authority (%),6. Deaths in the last 3 years registered with the civil authority (%),7. Population living in households with electricity (%),8. Population living in households with an improved drinking-water source1 (%),9. Population living in households that use an improved sanitation facility2 (%),10. Households using clean fuel for cooking3 (%),11. Households using iodized salt (%),12. Households with any usual member covered under a health insurance/financing scheme (%),13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),14. Women who are literate4 (%),15. Women with 10 or more years of schooling (%),16. Women age 20-24 years married before age 18 years (%),17. Births in the 5 years preceding the survey that are third or higher order (%),18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),20. Any method6 (%),21. Any modern method6 (%),22. Female sterilization (%),23. Male sterilization (%),24. IUD/PPIUD (%),25. Pill (%),26. Condom (%),27. Injectables (%),28. Total unmet need7 (%),29. Unmet need for spacing7 (%),30. Health worker ever talked to female non-users about family planning (%),31. Current users ever told about side effects of current method8 (%),32. Mothers who had an antenatal check-up in the first trimester (%),33. Mothers who had at least 4 antenatal care visits (%),34. Mothers whose last birth was protected against neonatal tetanus9 (%),35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),42. Institutional births (%),43. Institutional births in public facility (%),44. Home births that were conducted by skilled health personnel10 (%),45. Births attended by skilled health personnel10 (%),46. Births delivered by caesarean section (%),47. Births in a private health facility that were delivered by caesarean section (%),48. Births in a public health facility that were delivered by caesarean section (%),49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),51. Children age 12-23 months who have received BCG (%),52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67. Children under age 3 years breastfed within one hour of birth15 (%),68. Children under age 6 months exclusively breastfed16 (%),69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","72. Total children age 6-23 months receiving an adequate diet16, 17 (%)",73. Children under 5 years who are stunted (height-for-age)18 (%),74. Children under 5 years who are wasted (weight-for-height)18 (%), ,76. Children under 5 years who are underweight (weight-for-age)18 (%),77. Children under 5 years who are overweight (weight-for-height)20 (%),78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),79. Women who are overweight or obese (BMI ?25.0 kg/m2)21 (%),80. Women who have high risk waist-to-hip ratio (?0.85) (%),81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),84. All women age 15-49 years who are anaemic22 (%),85. All women age 15-19 years who are anaemic22 (%),86. Blood sugar level - high (141-160 mg/dl)23 (%),87. Blood sugar level - very high (>160 mg/dl)23 (%),88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),89. Blood sugar level - high (141-160 mg/dl)23 (%),90. Blood sugar level - very high (>160 mg/dl)23 (%),91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),93. Moderately or severely elevated blood pressure (Systolic ?160mm of Hg and/or Diastolic ?100mm of Hg) (%),94. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking medicine to control blood pressure (%),95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),96. Moderately or severely elevated blood pressure (Systolic ?160mm of Hg and/or Diastolic ?100mm of Hg) (%),97. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking medicine to control blood pressure (%),98. Ever undergone a screening test for cervical cancer (%),99. Ever undergone a breast examination for breast cancer (%),100. Ever undergone an oral cavity examination for oral cancer (%),101. Women age 15 years and above who use any kind of tobacco (%),102. Men age 15 years and above who use any kind of tobacco (%),103. Women age 15 years and above who consume alcohol (%),104. Men age 15 years and above who consume alcohol (%)
Urban,75.9,23.4,1015,873,92.9,79,99.8,99.4,81.8,98.2,97.8,52.9,16.7,81,60.9,16.7,,3.1,,69,66.9,61.3,1.4,1,1.2,1.3,0.1,7.1,3.1,17.2,52.4,89.8,71.1,89.5,63.2,37,,94.8,,88,"3,594",,*,,91.5,64.3,82.7,44.8,74.7,85.7,90.4,77,84.3,86.7,29.7,3.9,80,68.6,88.8,8.5,5.5,61.8,39.3,71.1,1.9,76.8,38.8,59.1,53.1,8.3,8.9,8.4,28.1,20,9.2,25.8,4.2,13.5,47.5,47.6,64.7,55.4,50.4,55.2,63.6,6.2,9.3,18.4,7.3,11.4,21.4,14.3,6.3,29.1,20.5,9.1,36.8,2.3,0.3,3.2,2.6,15.2,2.6,33.9
Rural,52.4,22,1070,907,88,71.3,99.4,98.4,72.9,88.3,94.8,65,14.3,58.1,36.3,27.4,,7.4,,67.6,66.5,62.2,2.3,0.2,0.5,0.5,0.1,6.1,2.6,16.9,47.2,87.6,70,89.7,54.6,32.7,,97.8,,87.3,"3,966",,14.6,,88.9,58.4,80.6,44.3,81.5,88.3,95.3,84,91.9,92.7,40.1,6.1,89.9,74.9,96.9,2.4,8.6,54.1,38.2,72.2,2.4,73.7,36,73.4,50.1,8.3,22.1,9.7,35.7,22.6,8.2,35,3,21.6,42.3,45.3,72.8,59.1,54.4,58.9,65.2,5.7,6,13,6.7,8.4,16.6,13.2,6.3,24.7,17.5,7.6,28.9,3.9,0.4,2.1,7.2,26.5,9,49
Total (2019-20),60.9,22.5,1049,894,90,73.5,99.6,98.7,76.2,91.8,95.8,60.8,15.3,66.6,45.5,23.5,,5.8,,68.1,66.7,61.9,2,0.5,0.8,0.8,0.1,6.4,2.8,17,49.2,88.5,70.4,89.6,57.9,34.4,,96.7,,87.6,"3,846",,15.6,,90,60.7,81.5,44.5,79.1,87.4,93.5,81.6,89.2,90.6,36.4,5.3,86.4,72.4,94.1,4.5,7.4,56.3,38.5,71.9,2.2,74.8,37.1,68.2,51.3,8.3,15.3,9.2,33.1,21.7,8.5,31.8,3.4,18.8,44.1,46.1,70,57.8,53.2,57.6,64.7,5.8,7,14.7,6.9,9.3,18.1,13.6,6.3,26.1,18.5,8.1,31.4,3.3,0.3,2.5,5.6,22.3,6.7,43.3
Total (2015-16),62.6,25.1,1007,872,83.1,na,98.9,97.7,52.3,67.3,95.8,66.4,na,na,43.6,26.2,,10.6,,57.2,57,54.2,1.6,0.4,0.3,0.5,0,7.4,3.8,9.6,25.1,83.1,74.9,88.8,52.7,28.8,,89.1,,81.7,"4,218",,9,,na,57.7,74.5,40.3,67.5,79.1,97.4,75.2,87.9,90.1,na,na,70.5,76,83.6,16.2,8.2,56.8,31.6,74.1,2,76.3,36.9,67,57.5,9.9,11.2,10.1,28,18.1,4.8,28.4,0.7,22.9,na,na,60.7,56.9,48.2,56.6,59.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Adilabad,58.6,24.8,992,785,83.9,77.3,99.2,95.7,50.8,81.6,97.6,63.6,6.3,64.8,41,21.4,1.3,7.8,77.9,54.3,54.1,50.2,0.6,0,1.2,1.5,0,10.1,4.7,12,32.6,89.7,74.8,90.9,44.4,21.8,94.1,83.4,4105,*,80.3,94.1,66.8,1.8,93.9,40.7,74.1,30.6,69.3,73.7,91.6,72.5,81.9,86.7,43.7,7.4,81.9,85.7,94.9,4.7,10.3,65,42.7,77.5,1.7,75,20.4,72.2,*,9.7,*,9.6,45.7,29.5,12.9,52,2.9,26.9,15.7,48.3,76.3,61.1,61,61.1,68,4.7,4.5,10.8,5.9,5.8,12.8,13,6.5,23.1,15.5,7.4,26.4,5.3,0.2,0.6,11,29.7,2.1,28.3
Bhadradri,62.7,19.5,1082,817,90,75.3,99.4,99.1,75.3,89.2,97.7,59.4,9.2,68.7,41.8,20.8,1,13,92.9,75,74,68.2,2.2,0.3,0.9,1.4,0.3,3.8,2.1,18.3,51.3,92.8,70.1,91.2,62.5,42.3,98.6,87.1,3255,*,85.4,97.4,53.9,2.3,94.2,58,73.1,48.6,80.4,87,98,86.7,93.7,96.1,41.4,8,93.7,73.2,98.2,1.8,9.2,*,*,*,1,82.4,40.2,*,*,8.8,*,12.4,28.4,21.8,9,25.3,3.7,14.9,31,48.7,69.3,69.3,50.6,68.7,79.3,9.1,7.5,18.3,6.8,10,18.4,16.8,6.6,29.6,19.5,6.1,30.1,3.4,0,3.2,4.7,28.4,2.9,38.8
Hyderabad,80.3,23,959,844,94.3,82.8,99.9,99.6,84.4,99.5,97.4,48.9,19.9,83.6,63.2,10.6,4,2.2,94.2,71.8,70,64.6,0,1.8,1.9,1.1,0,6.1,2.9,18.5,58.2,87.9,69.9,89.6,72.2,38.4,94.4,91.2,2815,*,94.9,98.3,48.3,0,94.6,59.7,85,35.4,73.8,91.6,82.1,76.3,75.4,77.9,19.8,2.5,70.1,62,84.3,5.3,1,*,*,*,0.8,*,48.1,*,*,6.2,*,4.8,30.4,17.7,8,18.9,4.3,12.4,51,43.9,63.6,52.5,*,52.7,70.6,5.4,11.4,21.2,6.5,16.7,26.8,14.2,5.3,30.2,22,10.2,41.7,2.3,0,5.9,1.7,12.4,0.7,28
Jagitial,55.9,24.1,1219,955,92.5,70.1,99.3,97.3,76.5,94.7,96.5,59.2,6.2,62.4,43.5,28.4,1.8,3.1,90.2,57.4,56.5,47.7,6.3,0.8,0.7,0.8,0,13.4,3.6,17.3,24,94.6,81.9,87.9,53.5,36.3,95.5,84.1,3494,*,89.9,94.4,39.8,1,91.9,68.1,77.4,64.9,77.7,94,95.7,77.7,93.2,93.2,38.2,9,90.8,72.5,93.8,6.2,4.1,*,*,*,0.4,73,27.5,*,*,14.7,*,13.6,29.9,17.5,8.4,32.3,5.5,22.5,26,43.2,59.9,56.4,*,56.3,66.2,7.5,6.1,15.5,8.6,8.4,19.5,11.9,5.8,25.5,16.4,8.4,31.3,6.7,1,3.4,11.2,23.5,2.6,47.6
